d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Paula Cardoso,,1 reseña,Hace un año,,"¡increíble! realicé una compra (a través de mercadolivre) el 02/11, con fecha de entrega prevista para el 09/11. me comuniqué con el vendedor, le pedí prioridad, ya que era un regalo para el 4. ¡me prometieron que lo…",,
orgalene miranda da silva,,1 reseña,Hace 8 meses,,"¡me encanta! mi producto llego antes de lo previsto, fueron super atentos, producto bien embalado, todo
perfecto �…",,Me gusta
Marco Douglas dos Santos da Silva,,1 reseña,Hace 9 meses,,"el producto llego en perfectas condiciones, no hubo demora en la entrega y lo recomiendo a todos!!…",,Me gusta
Rui Mendes,,· 55 reseñas,Hace un año,,"excelente servicio desde el primer momento que realicé la compra, inmediatamente recibí el mensaje de trámites y desarrollo del envío todo fue comunicado con toda la atención, ingenio y profesionalismo de todo el…",,Me gusta
Bruna Gonçalves Ferreira Coutinho,,5 reseñas,Hace un año,,"quedé muy contenta con el cuidado que tuvieron en anticipar la entrega para que llegara antes del cumpleaños de mi sobrina. envíame un mensaje cada estado. aparte de eso el producto vino super bien embalado, una…",,Me gusta
Bruna Fernandes,,1 reseña,Hace un año,,"a mi hija le encantó el juguete minnie que se cambia de ropa, zapatos y coronas de princesa. ¡gracias! sois excelentes en todo, una empresa seria y muy solidaria. me encantó lo compraré de nuevo! ¡súper nominado!…",,Me gusta
Eliana O.C,,1 reseña,Hace un año,,"el producto cumple con lo que dice el anuncio, lo he estado usando durante una semana sin problemas, la carga es rápida. el cordón es un poco frágil pero el cuidado durará. la entrega fue rápida, incluso antes de lo…",,Me gusta
Athos Reis,,· 16 reseñas,Hace 9 meses,,"la entrega fue súper rápida, y el perfume es sensacional, solo recibo cumplidos cuando lo uso. ¡lo recomiendo!…",,Me gusta
max,,6 reseñas,Hace 10 meses,,"producto de calidad, ya en uso, el mismo día que llegó. y llegó antes de la fecha prevista. la cinta de instalación aún vino. yo recomiendo. gracias y buenas ventas!!…",,Me gusta
Generio Oliveira Da Silva,,2 reseñas,Hace un año,,"excelente producto, realicé el proceso de curado como se describe. listo para usar. lo más importante, la agilidad de la tienda y sus socios en logística. marca tramontina 100% calidad.…",,Me gusta
Peterson F. Meireles,,· 24 reseñas,Hace 11 meses,,"hermoso dispositivo, a mi suegra le encantará, ella no usa un teléfono inteligente porque es vieja, pero este dispositivo positivo le sienta como un guante. gracias y que tengas grandes ventas.…",,Me gusta
Solange Agostini,,2 reseñas,Hace 11 meses,,"ozoncare fue el único producto que está resolviendo el problema de hongos que he tenido durante más de 12 años. empecé a usarlo hace apenas 2 meses. espero eliminar por completo este horrible hongo, pero ya puedo ver…",,Me gusta
Elton GS,,· 95 reseñas,Hace 8 meses,,"producto entregado rápidamente y como se describe. la esponja de silicona es muy práctica, aunque me resultó un poco pequeña.…",,Me gusta
Margarete Silva,,1 reseña,Hace un año,,entrega realizada antes de la fecha límite. silla con gran acabado y diseño moderno y perfecto. rápido montaje ya que venía medio instalado. ¡felicidades! recomiendo la compra de este producto excelente precio!…,,Me gusta
Jane Lopesfarias,,· 145 reseñas,Hace un año,,"bueno, antes de entrar a este sitio, fui a otro para comprar un juego de bolsos santino abs palazio, hubo un pequeño problema con la entrega, pero lamentablemente para mí no cumplieron con la fecha de entrega del…",,
Elsi Siqueira,,4 reseñas,Hace un año,,"gran servicio, entrega rápida, vino según el anuncio, muy atento, respondiendo preguntas con gran aclaración. qto el dispositivo es bueno, para mí no tanto porque el espacio en el que uso es mayor al indicado,…",,Me gusta
Ricardo Melo,,1 reseña,Hace 9 meses,,"buen día, acabo de poner el tapete en el vehículo y quedó muy bien, felicitaciones por la calidad del producto y el servicio brindado, sin duda cumplió con mis expectativas, gracias.…",,Me gusta
Heraldo Jose Meirelles,,· 57 reseñas,Hace un año,,estoy satisfecho. el producto fue excelente y el tiempo de entrega fue el mejor posible. llegó antes de lo esperado. solo tengo que decir gracias. superó mi expectativa. ¡gracias!…,,Me gusta
Erika Vieira,,· 16 reseñas,Hace un año,,"compré la cerveza dama bier reserva 10, llegó en una caja negra bien empaquetada, y los posavasos de cerveza, la botella es perfecta. es uno de los regalos de citas para mi novio que ya es un pequeño sommelier, con…",,Me gusta
Matheus Henrique,,2 reseñas,Hace un año,,"calificación general de la empresa: excelente
enhorabuena por su compromiso con el cliente, entrega prevista para el día 8, llegó hoy 02/12, mi más sincera enhorabuena una vez más, un placer haber comprado…",,Me gusta
josinei storque,,· 87 reseñas,Hace un año,,"mire, mi experiencia fue perfecta, me encantó el producto y me encantó el servicio del vendedor, desde el inicio de la compra hasta la finalización, el vendedor estuvo conmigo en todo momento, recomiendo esta tienda,…",,Me gusta
Gabriela,,9 reseñas,Hace un año,,"súper recomendable, sorprendieron mis expectativas, ya que era un regalo para el niño, estaba ansiosa de que todo saliera bien, para no tener que cambiarlo, cuidaron increíble el producto y el cariño hasta para…",,Me gusta
Vânia Souza,,5 reseñas,Hace un año,,"me gusto mucho el producto vino bien empacado. llegó antes de la fecha límite. era exactamente el modelo que estaba buscando. ya compré las mismas gafas en otro sitio, pero buscaba el mismo ser en rojo. perfecto me…",,Me gusta
lucy santos,,2 reseñas,Hace un año,,"recibí mi producto antes de la fecha límite de entrega, me encantó mi estuche de brochas de maquillaje ruby rose, no lo encontraba en mi ciudad y cuando llegó era más de lo que esperaba, ¡confío en este!…",,Compartir
Suely Place Henriques,,3 reseñas,Hace 10 meses,,"excelente vendedor, entrega el producto antes de lo previsto en perfectas condiciones.
siempre estamos informados de dónde está el producto a través del seguimiento.…",,Me gusta
Adriana Freitas,,1 reseña,Hace un año,,"¡excelente!
el producto llegó como se describe, entrega súper rápida mucho antes de lo previsto y excelente servicio, siempre comunicando sobre el producto. ¡gracias!…",,Me gusta
laisla vitoria,,2 reseñas,Hace 10 meses,,"solo tengo que agradecer porque estoy satisfecho con el producto, todo está bien embalado ... entrega a tiempo, todo perfecto, puedes comprarlo sin miedo…",,Me gusta
Silvio Gusmão,,1 reseña,Hace un año,,"en primer lugar quiero alabar el compromiso del vendedor, ya que la compra llegó con un día de antelación. aunque no le quité el sello que rodea al tablero, ya que es un regalo, me gustó mucho el ajedrez 3 en 1.…",,Me gusta
Celia Farias,,1 reseña,Hace un año,,"me encantó el producto gran calidad era lo que esperaba, entrega antes de la fecha límite. compraría de nuevo…",,Me gusta
Benedito Manoel Ferreira,,· 39 reseñas,Hace un año,,"a pesar de tener un problema inicial, había comprado 2 (dos) y me entregaron 1 (uno), me quejé y al segundo día me lo entregaron.
el producto es bueno, tal como se especifica y se espera.…",,
Almir,,194 reseñas,Hace un año,,"compré una base para lavadora/secadora en línea (ml). producto de calidad, bien acabado y aparentemente resistente. fácil de montar, con regulación de altura en todos los pies y regla niveladora que ayuda mucho.…",,Me gusta
gustavo peixoto,,1 reseña,Hace un año,,excelente vendedor. súper orden. mi producto vino 100% correcto. llegó una semana antes de lo previsto. ¡estás de enhorabuena! definitivamente compraré de nuevo con ustedes.…,,
Renata Maria Lopes Bortoluzzi,,· 49 reseñas,Hace 9 meses,,"excelente compra!
entrega rápida, todo ok.
compraré otra biblia con este ganador.…",,Me gusta
Alcimar Pereira,,8 reseñas,Hace un año,,"buenas noches, pregunte porque estaba desesperada con las bombas que no me llenaban lo que queria! ¡pero aun así, ordené y quedé muy satisfecho con el compresor! ¡pues me sorprendió! muy bueno y todavía tiene 03…",,Me gusta
Analice Francisca,,1 reseña,Hace 9 meses,,surpe aprobado no esperaba llegar hoy 6 de abril pero para el 11 de abril me encantó y a mi mamá le encantó tanto ustedes están de enhorabuena gracias ❤️…,,
Adriana Santana,,· 69 reseñas,Hace un año,,"producto muy bien embalado, muy buen material, necesita dos personas para montarlo y estar bien fijado. muy buen servicio y la entrega fue antes de la fecha prevista. recomendar…",,Me gusta
Daiana M.B,,2 reseñas,Hace 10 meses,,compré el plato de porcelana para poner en el terrario de mi hámster. llegó súper empacado y lo recibí en 3 días hábiles…,,Me gusta
Pedro Pregnolato,,1 reseña,Hace un año,,"el producto llegó en perfecto estado, sin ningún problema, fácil instalación, no había burbujas en ninguna parte de la pantalla, encajaba perfectamente. lo único, pero creo que es normal para el material, es que la…",,Me gusta
Marleide Rosa,,4 reseñas,Hace 10 meses,,"producto de gran calidad, y la entrega fue rapidísima.... me la entregaron antes del plazo que me dieron.
¡muchas gracias!…",,Me gusta
André Menezes,,· 53 reseñas,Hace 10 meses,,"gran experiencia de compra, ¡el producto considerado llegó a tiempo! yo recomiendo…",,Me gusta
Valdir Pereira,,· 45 reseñas,Hace un año,,"fue maravilloso comprar aquí, buen servicio, instalaciones responsables, entrega muy rápida, gran producto, me gustó mucho, lo recomiendo, buenos días a ustedes también �…",,
Vi vian,,18 reseñas,Hace un año,,"mi compra fue excelente. el proceso en la página de mercado libre de olist fue muy sencillo, rápido y seguro. mi producto incluso llegó días antes de lo previsto y es de gran calidad. gracias.…",,Me gusta
Claudieline Oliveira,,1 reseña,Hace un año,,"mi pedido llegó súper rápido, excelente material. me encantó, quedé encantada. es para mi nieto que va a llegar, pero creo que a mi hija también le va a encantar.atentos vendedores despejen nuestras dudas.…",,Me gusta
Flavio F C,,4 reseñas,Hace 8 meses,,"¡muy bien! producto como se anuncia, entrega a tiempo, quedé satisfecho.…",,Me gusta
Ana Beatriz Terra,,2 reseñas,Hace un año,,"estoy impresionada ya la vez enamorada!!!
¡la rapidez, el cuidado con el que llegó mi producto y la belleza del producto aún más personalmente, me aseguran que hice la compra correcta, en el lugar…",,Me gusta
Rosinete Sampaio,,1 reseña,Hace 10 meses,,"buenas tardes, mi experiencia con olist fue muy buena, desde el inicio de la compra hasta el momento en que recibí el pedido me informaron de todo el progreso del mismo.…",,Me gusta
Kauan Stronda,,1 reseña,Hace 10 meses,,"me gustó mucho el servicio y la entrega fue más rápida de lo que esperaba, ¡todo salió bien! yo recomiendo. 🤝…",,Me gusta
mario ricardo de carvalho,,· 77 reseñas,Hace 9 meses,,"compré una caja de herramientas de 5 partes, vino una más grande de lo que imaginaba
el transportista se retrasó el día de la entrega, le cobraron al transportista…",,Me gusta
Denise Moreira De Jesus Silva,,2 reseñas,Hace un año,,"producto de gran calidad, realmente mejor de lo que imaginaba, a mi hija le encantó, la entrega se hizo una semana antes, estoy realmente satisfecha, quedé encantada con el producto, muchas gracias �…",,Me gusta
Amanda Fernandes,,4 reseñas,Hace un año,,"compré el parque infantil para mis pájaros, el producto es excelente, viene exactamente como en la foto con todos los accesorios l!! la calidad es excepcional y les está encantando, durante el montaje ya querían jugar…",,Me gusta
thiago cruz,,4 reseñas,Hace 9 meses,,"lo compre a través de mercadolibre, los productos llegaron antes de la fecha límite, vinieron bien empacados y son de buena calidad! yo recomiendo…",,Me gusta
vane lopes,,4 reseñas,Hace 7 meses,,muy bien llego a tiempo como lo esperaba vendedor muy atento lo recomiendo…,,Me gusta
osvaldo souza,,3 reseñas,Hace 11 meses,,"gran servicio, gran producto, entrega muy rápida, compraría de nuevo y recomendaría con certeza. felicidades.…",,Me gusta
Marineis Sales Mion,,1 reseña,Hace 8 meses,,"siempre me ha gustado comprar en mercado libre porque son muy serios y cuidadosos con nuestro producto, y la entrega es muy rápida..�…",,Me gusta
relindes Mariano,,5 reseñas,Hace 11 meses,,la empresa de entrega puntual brinda un buen servicio en general el producto vino bien bien embalado todo bien satisfecho con el servicio…,,Me gusta
ÉRICA MOREIRA,,1 reseña,Hace 11 meses,,"¡mi experiencia de compra fue maravillosa! la mochila llegó rápido, muy bien embalada, idéntica a la foto del anuncio. ¡felicidades! compraré más a menudo.…",,Me gusta
cleidimar b,,1 reseña,Hace un año,,"excelente, entrega súper rápida, tuve un percance, devolví los guantes y me puse en contacto con los vendedores que fueron súper honestos y me reembolsaron rápido y me dieron todo el apoyo, fueron súper atentos,…",,Me gusta
Márcio Oliveira,,· 28 reseñas,Hace 9 meses,,"felicitaciones, excelente producto, entrega súper rápida y excelente servicio. volveré a comprar pronto.
gracias…",,Me gusta
Leticia Gabriella Martins,,3 reseñas,Hace un año,,"¡excelente servicio, excelente producto, llegó a tiempo! gracias a todo el equipo.…",,Me gusta
G R.B,,· 31 reseñas,Hace un año,,me gustó que el producto llegara a tiempo. amado en perfecto estado muy hermoso recomiendo…,,Me gusta
Selma Andrade,,17 reseñas,Hace 9 meses,,producto recibido de forma rápida y segura antes de la fecha límite. muy satisfecho con todo el apoyo recibido desde la compra hasta la postventa. felicidades al equipo de olist…,,Me gusta
Binha B,,9 reseñas,Hace un año,,recibí comentarios desde el inicio de la compra. me sentí seguro todo el tiempo. el producto llegó mucho antes de la fecha límite. todavía no lo he abierto porque está presente. estoy muy satisfecho.…,,Me gusta
Melquizedec Rodrigues,,· 11 reseñas,Hace 9 meses,,"mi producto llegó en perfectas condiciones bien embalado y antes del plazo estipulado.
felicidades.…",,Compartir
Geana Rodrigues,,5 reseñas,Hace 9 meses,,"llegó mucho antes de la fecha de entrega prevista, estaba bien embalado, todos los productos sellados, ahora toca usarlo y obtener el resultado esperado �…",,Me gusta
Line Ferrer,,· 26 reseñas,Hace 9 meses,,¡¡¡excelente!!! producto de gran calidad y empresa seria que respeta al consumidor. ¡¡¡entrega a tiempo!!!…,,Me gusta
Welbert França Martins,,1 reseña,Hace 11 meses,,estoy muy satisfecho nunca había visto tanta puntualidad me sentí honrado de haber comprado con ustedes compraré más a menudo y recomiendo comprar. toda satisfacción…,,Me gusta
Wilson Pereira,,16 reseñas,Hace un año,,"pedí un modelo de timbre para ancianos y me entregaron otro modelo y fabricante que no conocía ...
inmediatamente cuestioné y solicité información al proveedor.…",,Me gusta
Mary Moro,,2 reseñas,Hace un año,,"gran servicio, bien embalado y producto de buena calidad, llegó mucho antes de la fecha límite.
estoy muy agradecido.…",,Me gusta
Marilía Magalhães,,3 reseñas,Hace 11 meses,,enviaron súper rápido. el producto llegó bien embalado. gran servicio. volveré a comprar seguro!…,,
alcir schumacker,,2 reseñas,Hace 8 meses,,"compré 2 candados de 90mm. llegó rápido, antes de lo previsto. producto excelente. ya está en uso.…",,Me gusta
Ginaldo Hermes da silva,,1 reseña,Hace 8 meses,,"cuando hice el pedido pensé que tardaría mucho en llegar pero fue muy rápido de comprar, pagar y la entrega fue en un tiempo récord, gracias.…",,Me gusta
Luciene Vilalva,,1 reseña,Hace un año,,muy bueno llego muy rapido y el producto llego como queria satisfecho.…,,Me gusta
Lais Abs,,1 reseña,Hace 11 meses,,"fue una gran experiencia. recibí los pendientes en el plazo estipulado, con certificado de garantía y, para mi sorpresa, más bonitos que en la foto. ¡hermoso! nada de lo que quejarse. solo elogios.…",,
Luciana Felix,,2 reseñas,Hace un año,,"vaya, estoy impresionado hasta ahora, entrega antes de lo programado, súper atento, excelente producto, se lo recomiendo a todos, volveré a comprar, mantengo este servicio, grado 10, ☺️…",,Me gusta
Deivisson Fonseca,,1 reseña,Hace 8 meses,,"estaba un poco nerviosa pensando que no llegaría a tiempo para el cumpleaños de mi hija, pero fueron súper atentos, llegó un día antes... ¡perfecto! felicidades ❤️…",,Me gusta
Valéria Oliveira,,1 reseña,Hace 2 años,,"me gustó mucho el producto, la atención de los vendedores fue muy buena y el tiempo de entrega muy satisfactorio antes del plazo estimado.…",,Me gusta
Regiane Vertu,,1 reseña,Hace 11 meses,,"los productos llegan bien embalados, son de excelente calidad, y el servicio de la empresa es sensacional, nota de venta y posventa 1000.…",,Me gusta
Vlademir Araújo,,1 reseña,Hace un año,,"excelente mercancía, el producto llegó antes de la fecha límite estipulada, estaba bien empaquetado ... realmente necesitaba mucho este dispositivo, por eso lo recomiendo para quienes necesitan comprar con ustedes,…",,
viviane rocha lopes,,9 reseñas,Hace un año,,"producto muy eficaz, gran calidad.
solo una sugerencia a la hora de comprar 2 kits que empaquen todo junto, ya que en la entrega solo recibí 1 y al día siguiente volvieron a entregar el otro,…",,Me gusta
Gabrielle Lima,,1 reseña,Hace un año,,al principio no me gusto mucho porque compre el producto en 2 cantidades y solo llego 1. a pesar de los imprevistos pronto estuvieron disponibles y agilizaron el envio del otro objeto. me gustó mucho la rapidez y el…,,Me gusta
Amanda Braga,,· 50 reseñas,Hace un año,,llegó mucho antes de la fecha límite. el producto es muy resistente. viene todo montado. simplemente enciende la televisión. compré dos. se lo recomendaré a otras personas. me ha gustado bastante.…,,Me gusta
Mauricio Correa,,5 reseñas,Hace un año,,"excelente servicio desde la compra hasta la finalización. el producto llego antes del tiempo estimado y en perfectas condiciones, bien acomodado y protegido.…",,Me gusta
Gabriel R,,1 reseña,Hace 11 meses,,"perfecto, el producto llego inalterado en perfectas condiciones, buen producto, gran servicio, y entrega a tiempo…",,Me gusta
Jailton Souza De Oliveira Souza,,1 reseña,Hace un año,,"ball show, muy buen producto y llegó 10 días antes de la fecha límite.…",,Me gusta
ilson castanheira,,1 reseña,Hace 9 meses,,¡muy buena! ¡la mercancía llegó antes de lo esperado y a buen precio! ¡recomiendo a este vendedor! att. ilson…,,Me gusta
Claudio Rodrigues,,4 reseñas,Hace un año,,"gran experiencia, el producto vino como se describe y la entrega súper rápida. el vendedor también se comunica muy bien, tanto durante como después de la venta.…",,Me gusta
Sardônica Books,,2 reseñas,Hace un año,,"¡el scooter es maravilloso, el material es de excelente calidad, fuerte y el manillar alto! incluso yo lo usé 🤪¡llegó en 5 días súper rápido…",,Me gusta
Cezar De Souza,,13 reseñas,Hace 10 meses,,fuimos bien recibidos durante todo el proceso de compra y recomendamos esta empresa a cualquier persona que pueda estar interesada en sus productos y servicios.…,,Me gusta
Ludirene Cordeiro,,1 reseña,Hace 8 meses,,"estoy muy contento con la compra que realicé, mi mercancía llegó mucho antes de la fecha acordada.🥰👏�…",,Me gusta
Lais Batista,,1 reseña,Hace 9 meses,,me gusto la base me llego mucho antes del dia que llego exactamente en el color que pedi estoy muy contenta y contenta recomiendo pueden comprar sin miedo…,,Me gusta
Cicero Jose de Paula,,· 32 reseñas,Hace 10 meses,,"excelente servicio y la entrega superó mis expectativas, me entregaron el reloj 11 días antes de la fecha acordada y solo me queda agradecerles por una profesionalidad impresionante…",,Me gusta
Valdenrique Ribeiro,,2 reseñas,Hace un año,,"gran producto, estoy muy satisfecho, se entregarán mucho antes de la fecha límite.…",,Me gusta
Rose Durade,,2 reseñas,Hace un año,,"me gustó mucho la bicicleta, es perfecta para niños pequeños como mi nieta ya que no tiene partes peligrosas. mi nieta está contenta y yo muy satisfecho con el producto, que llegó mucho antes de la fecha prevista.…",,Me gusta
Cáren Noble,,1 reseña,Hace un año,,"hermoso producto, delicado, colores fieles al anuncio. quedó un encanto en la habitación de mis bebés. la tienda está muy organizada, manteniendo al comprador siempre al tanto de lo que sucede. responden rápidamente.…",,Me gusta
Gilmario Silva De Sant Anna,,1 reseña,Hace 9 meses,,"excelente caja, costo, calidad de sonido, diseño, entrega y la batería dura de 4 a 5 horas en el nivel de sonido promedio, muy bueno, lo recomiendo, gilmario-cidade-catu/ba…",,Me gusta
Keylla Crystyane,,· 34 reseñas,Hace un año,,"¡servicio rápido, calidad maravillosa y entrega rápida!
altamente recomendado…",,Compartir
Alexandre Urquiza,,10 reseñas,Hace un año,,"la empresa es muy ágil en responder las dudas de sus clientes y nos mantiene informados de todos los pasos desde la preparación hasta el envío sin necesidad de seguir preguntando, espero que esta empresa siga…",,Me gusta
Arissandra Brito,,1 reseña,Hace 9 meses,,"quedé muy satisfecho con el producto que la señal llegó antes de la fecha límite. y con el vendedor muy atento y servicial. haré más compras. lo recomiendo, es confiable.…",,
Rebecca Gennaro,,5 reseñas,Hace un año,,"el producto llegó dentro del plazo.
producto muy bonito y de buena calidad.
¡¡me gustó mucho!!…",,Me gusta
Tatiane Margotti,,4 reseñas,Hace 10 meses,,"el producto llegó antes de lo previsto, excelente servicio y siempre actualizando la información de compra, súper recomendable.…",,Me gusta
Marcelo Sisti,,2 reseñas,Hace 11 meses,,"tuvieron un problema con el transportista, pero no escatimaron esfuerzos para entregarme el producto a tiempo. recomiendo al vendedor a todo el mundo y volveré a comprarles sin ningún problema.…",,Me gusta
Keli Silva,,2 reseñas,Hace un año,,el producto corresponde como dice el primer dia ya vi el resultado me salio olor a humedad me gusto mucho por que gastaba mucho dinero en antimoho y aun asi olía a moho me encantó este producto lo recomiendo…,,Me gusta
Brankinho Bjj,,2 reseñas,Hace 8 meses,,"fue maravilloso describir sin palabras su compromiso. solo tengo que decir muchas gracias, tengo la intención de hacer más compras.…",,Me gusta
Daniela Viana,,1 reseña,Hace un año,,es mi primera compra y me encanto la pelicula vino bien empaquetada sin ningun defecto quedo genial en mi celular lq6 demasiado perfecta solo tardo un poco en llegar pero siempre avisa por la demora excelente…,,Me gusta
grasiely iorio mota,,3 reseñas,Hace un año,,"¡superó las expectativas!
excelente producto. muy bien embalado, llegado antes de la fecha límite, pintura de alta calidad, acabado perfecto, reposacabezas funcional, fácil montaje, gran…",,Me gusta
Givaldo Jose Da Silva,,5 reseñas,Hace un año,,"la primera vez que realizo una compra en esta tienda, la entrega se realizó rápidamente y los productos son como se anuncian. muchas gracias por la entrega rápida.…",,Me gusta
Eudes Feitosa Silva,,1 reseña,Hace un año,,me gustó mucho la entrega del producto a tiempo y producto de gran calidad lo recomiendo a cualquiera que quiera comprar…,,Me gusta
Margarete Padilha protzen,,2 reseñas,Hace 10 meses,,"me atendieron muy bien, mi mercadería llegó mucho antes de la fecha límite estoy muy satisfecho. gracias por la atención.…",,Me gusta
Miguel Francisco Bento Antunes,,1 reseña,Hace 9 meses,,recibí el producto antes del tiempo acordado. gran compra. felicitaciones por el servicio.…,,Me gusta
Maria Cristina de Oliveira Garcia,,2 reseñas,Hace un año,,"la tienda estuvo muy atenta, la entrega fue rápida, el producto llegó como se anuncia y, debido a mi investigación anterior, este dispositivo g-tech, para uso doméstico, tiene la mejor relación costo-beneficio.…",,Me gusta
Viviane Silva,,4 reseñas,Hace un año,,"producto de gran calidad !! fue una de las mejores compras que he hecho, el vendedor fue súper servicial, la entrega fue mucho más rápida de lo que esperaba, estoy muy satisfecho y recomiendo mucho para que los que…",,Me gusta
luiz Fernando Ferreira,,1 reseña,Hace un año,,"excelente servicio, permite un fácil seguimiento de mi producto, entrega antes de lo previsto. ¡¡parte superior!!…",,Me gusta
Vera Santos,,· 26 reseñas,Hace un año,,"protudo llegó rápido antes de la fecha límite acordada, bien empaquetado gran vendedor me gustó mucho el producto tan pronto como se completó la compra el vendedor ya se puso en contacto protudo ya estaba empaquetado…",,Me gusta
Wagner Lima,,2 reseñas,Hace un año,,"el producto llego todo bien, publicado rapido y vendedor muy atento!
yo recomiendo.…",,Me gusta
luiz noronha,,1 reseña,Hace un año,,"fue todo muy rápido y eficaz. el producto es excelente, y hasta ahora, está funcionando perfectamente. la entrega fue antes del tiempo esperado. es decir, todo lo positivo y perfecto. no solo recomiendo esta tienda,…",,Me gusta
Renata Aguiar,,1 reseña,Hace un año,,"el producto es genial calidad impecable, llego mucho antes de lo previsto, fui muy bien atendido por el vendedor
estoy muy satisfecho…",,Me gusta
karina maura,,2 reseñas,Hace un año,,"acabo de recibir mi producto y estoy simplemente encantado con el cuidado y cuidado que se envió. muy bien empaquetado, los productos envueltos en el papel de seda personalizado de la marca del producto y los dulces…",,Me gusta
Sandra Bossetto,,1 reseña,Hace un año,,"compré el kit de papelera de reciclaje ecoclean y la entrega fue súper rápida, mucho antes de lo esperado.
como había un error tipográfico en el anuncio que generaba dudas sobre qué…",,Compartir
Josiane Reis,,1 reseña,Hace un año,,"las repartidoras, eso sí, dos chicas, de la empresa de transportes, fueron muy amables conmigo. fue un diferenciador. por eso decidí alabar. olist siempre tiene el tiempo de entrega más corto. de lo que investigué.…",,Me gusta
Mateus Cardoso,,2 reseñas,Hace un año,,producto de excelente calidad y pronta entrega. el producto llegó mucho antes de lo esperado.…,,Me gusta
SIMONE,,3 reseñas,Hace 2 meses,,"entrega oportuna, producto de gran calidad.

(original)…",,
Nanci Rodrigues Eli,,3 reseñas,Hace 11 meses,,"me conmovió mucho el vendedor y tuve todas mis dudas resueltas, lo recibí bien embalado y me encantó la mercancía, lo volveré a comprar seguro…",,Me gusta
Juh silva silva,,1 reseña,Hace 10 meses,,"producto de gran calidad, realmente mdf, quedó perfecto en la habitación de mi hijo, le encantó, recomiendo mucho su tienda, felicidades.…",,Me gusta
monica cattani,,11 reseñas,Hace 7 meses,,el producto llegó en perfectas condiciones y a tiempo. se lo recomiendo a todos desde ml.…,,Me gusta
Antonio Eustaquio,,· 36 reseñas,Hace un año,,muy buen producto llego antes de la fecha prevista recomiendo grandes vendedores…,,Me gusta
C Cabral Teves,,1 reseña,Hace un año,,"estoy evaluando por ahora solo el tiempo de entrega, que fue excelente, ya que el producto aún no se ha usado y no tengo planes de usarlo de inmediato. pero ustedes ya me causaron una gran impresión, porque yo también…",,Me gusta
Edgar Ricardo Moutounet,,1 reseña,Hace un año,,"gran servicio, el producto llegó dos días antes de lo previsto en perfecto estado y de excelente calidad…",,Me gusta
Celso Petruzalek,,· 20 reseñas,Hace un año,,"recibí la mercancía una semana antes de lo previsto, y la calidad fue superior a la solicitada por falta temporal del proveedor. ¡excelente recibimiento!…",,Me gusta
Carmen Lucia Barros Cecon,,· 15 reseñas,Hace un año,,"hoy recibí el licor stock marula, vino muy rápido, pensé que tardaría un poco más ... este licor es maravilloso, delicioso. pretendo adquirir otros sabores. yo recomiendo…",,Me gusta
wallace Pereira Amaral,,1 reseña,Hace un año,,"el producto es de gran calidad con una estética maravillosa, vino muy bien envuelto, por lo que llega a casa en excelentes condiciones, por lo que lo recomiendo mucho. felicitaciones al vendedor que está súper atento…",,Me gusta
Leticia Werneck Martinez Jardim,,3 reseñas,Hace 11 meses,,"gran servicio. entrega súper rápida, producto de calidad. ¡todos los artículos llegaron en perfectas condiciones!
¡estaba muy satisfecho!…",,Me gusta
Alcides Junior,,1 reseña,Hace 2 años,,"me gusto haber realizado la compra, porque el producto llego antes de lo esperado, super atentos al cliente, lo recomiendo, hare mas compras pronto.…",,Me gusta
Solange2mae@gmail.com Mae,,2 reseñas,Hace un año,,buenas tardes me gusto mucho el producto llego antes de la fecha prevista felicitaciones al vendedor oao mercado libre feliz año nuevo buenas ventas.…,,Me gusta
Julio Cesar,,· 7 reseñas,Hace 9 meses,,el producto llegó en perfectas condiciones y antes de lo previsto! ¡felicitaciones por su compromiso con el cliente! ¡pronto volveré a comprar!…,,Me gusta
Ednaldo Oliveira,,2 reseñas,Hace 11 meses,,"hola quisiera agradecerles a todos por su atención, a mi madre le gustó mucho la silla, es un excelente producto, material muy resistente, entrega rápida, estoy muy agradecida por todo, dios los bendiga a todos,…",,Me gusta
Viviane Caetano,,5 reseñas,Hace un año,,¡muy bien! producto de buena calidad y entrega a tiempo. ¡me sorprendió!…,,Me gusta
Abner Lima,,2 reseñas,Hace un año,,"gran servicio, el producto llegó sin ningún defecto. entregado a tiempo…",,Me gusta
Sergio Alexandre,,1 reseña,Hace un año,,"normalmente estaba esperando la entrega en la fecha programada, 12/04, cuando de repente sonó el timbre. cuando lo alargué, me sorprendí con correos entregando el producto comprado hoy, 4/5. me sorprendió la velocidad…",,
lucia nascimento,,1 reseña,Hace 10 meses,,recibí mi compra estoy muy feliz gran producto atento vendedor felicitaciones lo recomiendo a todos en mercado libre…,,Me gusta
gelli kof,,1 reseña,Hace un año,,"muy buena piscina.
a los niños les encantó..
vinieron todas las piezas.…",,
Roselaine Marques,,1 reseña,Hace 11 meses,,"gran producto, entrega rápida...
bien embalado y excelente servicio!…",,Me gusta
Maya Galathea,,1 reseña,Hace un año,,"fue una gran experiencia, compré un producto que no encontraba en ningún otro lado y tan necesario para tener siempre en casa!
muchas gracias a ti, siempre amable y atento,…",,Me gusta
